player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,positions_played
Fabian Johnson,United States of America,Borussia Mönchengladbach,Left Midfield,26.0,2158.0,1.0,6.0,"['Right Wing', 'Left Center Midfield', 'Center Defensive Midfield', 'Right Back', 'Right Center Midfield', 'Right Wing Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing', 'Left Wing Back', 'Right Midfield']"
Fabian Lukas Schär,Switzerland,Hoffenheim,Right Center Back,24.0,1747.0,4.0,4.0,"['Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Fabian Lustenberger,Switzerland,Hertha Berlin,Left Center Back,30.0,2527.0,0.0,8.0,"['Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Fabian Reese,Germany,Schalke 04,"['Left Midfield', 'Left Center Forward']",1.0,5.0,1.0,0.0,"['Left Midfield', 'Left Center Forward']"
Federico Barba,Italy,VfB Stuttgart,Left Center Back,2.0,140.0,0.0,2.0,"['Left Back', 'Left Center Back']"
Felipe Aliste Lopes,Brazil,Wolfsburg,0,0.0,0.0,0.0,0.0,[]
Felipe Trevizan Martins,Brazil,Hannover 96,Center Attacking Midfield,8.0,151.0,7.0,0.0,"['Left Back', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Back']"
Felix Klaus,Germany,Hannover 96,Left Wing,18.0,815.0,9.0,9.0,"['Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Left Wing', 'Right Midfield']"
Felix Kroos,Germany,Werder Bremen,"['Left Center Midfield', 'Left Midfield']",8.0,276.0,6.0,2.0,"['Left Center Midfield', 'Right Back', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Felix Passlack,Germany,Borussia Dortmund,"['Left Back', 'Right Back', 'Left Center Midfield', 'Right Wing', 'Right Center Midfield']",3.0,183.0,1.0,1.0,"['Left Center Midfield', 'Right Wing', 'Left Back', 'Right Back', 'Right Center Midfield']"
Felix Platte,Germany,Darmstadt 98,Center Forward,12.0,172.0,11.0,0.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Right Center Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Right Attacking Midfield', 'Left Wing']"
Felix Wiedwald,Germany,Werder Bremen,Goalkeeper,34.0,3060.0,0.0,0.0,['Goalkeeper']
